source,facility_type,latitude,longitude,geometry_type,crs,capacity,company,district,inst_cap,inst_cap_m,layer,location,operator,original_file,plant_name,power_plant_type,primary_fu,state,state_name,statename,utilname,well_name,original_properties
ISRO_VEDAS,power_plant,11.5245,76.5996,Point,EPSG:4326,,,NILGIRIS,150.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,PYKARA ULTIMATE,hydro,,TAMIL NADU,,,,,"{""id"": ""hydro_power_plants_public.129"", ""plant_name"": ""PYKARA ULTIMATE"", ""district"": ""NILGIRIS"", ""proj_name"": null, ""state"": ""TAMIL NADU"", ""inst_cap"": 150.0, ""layer"": ""hydro_power_plants"", ""xmin"": 76.5996, ""ymin"": 11.5245, ""xmax"": 76.5996, ""ymax"": 11.5245}"
ISRO_VEDAS,power_plant,11.5232,76.6005,Point,EPSG:4326,,,NILGRIS,59.2,,hydro_power_plants,,,Vedas_Power_Plants.geojson,PYKARA,hydro,,TAMIL NADU,,,,,"{""id"": ""hydro_power_plants_public.125"", ""plant_name"": ""PYKARA"", ""district"": ""NILGRIS"", ""proj_name"": null, ""state"": ""TAMIL NADU"", ""inst_cap"": 59.2, ""layer"": ""hydro_power_plants"", ""xmin"": 76.6005, ""ymin"": 11.5232, ""xmax"": 76.6005, ""ymax"": 11.5232}"
ISRO_VEDAS,power_plant,11.3645,76.6044,Point,EPSG:4326,,,NILGIRIS,30.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,Parson's valley,hydro,,TAMIL NADU,,,,,"{""id"": ""hydro_power_plants_public.123"", ""plant_name"": ""Parson's valley"", ""district"": ""NILGIRIS"", ""proj_name"": null, ""state"": ""TAMIL NADU"", ""inst_cap"": 30.0, ""layer"": ""hydro_power_plants"", ""xmin"": 76.6044, ""ymin"": 11.3645, ""xmax"": 76.6044, ""ymax"": 11.3645}"
ISRO_VEDAS,power_plant,11.6139,76.6927,Point,EPSG:4326,,,NILGRIS,36.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,MOYAR,hydro,,TAMIL NADU,,,,,"{""id"": ""hydro_power_plants_public.121"", ""plant_name"": ""MOYAR"", ""district"": ""NILGRIS"", ""proj_name"": null, ""state"": ""TAMIL NADU"", ""inst_cap"": 36.0, ""layer"": ""hydro_power_plants"", ""xmin"": 76.6927, ""ymin"": 11.6139, ""xmax"": 76.6927, ""ymax"": 11.6139}"
ISRO_VEDAS,power_plant,11.263,76.8037,Point,EPSG:4326,,,COIMBATORE,100.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,KUNDAH-IV,hydro,,TAMIL NADU,,,,,"{""id"": ""hydro_power_plants_public.113"", ""plant_name"": ""KUNDAH-IV"", ""district"": ""COIMBATORE"", ""proj_name"": null, ""state"": ""TAMIL NADU"", ""inst_cap"": 100.0, ""layer"": ""hydro_power_plants"", ""xmin"": 76.8037, ""ymin"": 11.263, ""xmax"": 76.8037, ""ymax"": 11.263}"
ISRO_VEDAS,power_plant,11.2487,76.7669,Point,EPSG:4326,,,COIMBATORE,180.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,KUNDAH-III,hydro,,TAMIL NADU,,,,,"{""id"": ""hydro_power_plants_public.112"", ""plant_name"": ""KUNDAH-III"", ""district"": ""COIMBATORE"", ""proj_name"": null, ""state"": ""TAMIL NADU"", ""inst_cap"": 180.0, ""layer"": ""hydro_power_plants"", ""xmin"": 76.7669, ""ymin"": 11.2487, ""xmax"": 76.7669, ""ymax"": 11.2487}"
ISRO_VEDAS,power_plant,11.2503,76.6796,Point,EPSG:4326,,,NILGRIS,175.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,KUNDAH-II,hydro,,TAMIL NADU,,,,,"{""id"": ""hydro_power_plants_public.111"", ""plant_name"": ""KUNDAH-II"", ""district"": ""NILGRIS"", ""proj_name"": null, ""state"": ""TAMIL NADU"", ""inst_cap"": 175.0, ""layer"": ""hydro_power_plants"", ""xmin"": 76.6796, ""ymin"": 11.2503, ""xmax"": 76.6796, ""ymax"": 11.2503}"
ISRO_VEDAS,power_plant,10.312,76.6154,Point,EPSG:4326,,,COIMBATORE,32.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,PORINGALKUTHU,hydro,,KERALA,,,,,"{""id"": ""hydro_power_plants_public.142"", ""plant_name"": ""PORINGALKUTHU"", ""district"": ""COIMBATORE"", ""proj_name"": null, ""state"": ""KERALA"", ""inst_cap"": 32.0, ""layer"": ""hydro_power_plants"", ""xmin"": 76.6154, ""ymin"": 10.312, ""xmax"": 76.6154, ""ymax"": 10.312}"
ISRO_VEDAS,power_plant,10.2071,76.7135,Point,EPSG:4326,,,ERANAKULAM,75.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,IDAMALAYAR,hydro,,KERALA,,,,,"{""id"": ""hydro_power_plants_public.140"", ""plant_name"": ""IDAMALAYAR"", ""district"": ""ERANAKULAM"", ""proj_name"": null, ""state"": ""KERALA"", ""inst_cap"": 75.0, ""layer"": ""hydro_power_plants"", ""xmin"": 76.7135, ""ymin"": 10.2071, ""xmax"": 76.7135, ""ymax"": 10.2071}"
ISRO_VEDAS,power_plant,10.3041,76.7297,Point,EPSG:4326,,,COIMBATORE,54.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,SHOLAYAR,hydro,,KERALA,,,,,"{""id"": ""hydro_power_plants_public.141"", ""plant_name"": ""SHOLAYAR"", ""district"": ""COIMBATORE"", ""proj_name"": null, ""state"": ""KERALA"", ""inst_cap"": 54.0, ""layer"": ""hydro_power_plants"", ""xmin"": 76.7297, ""ymin"": 10.3041, ""xmax"": 76.7297, ""ymax"": 10.3041}"
